MangAgen,the_geom,ProjName,ORRID,OneNYC,ProjVal,Schedule,CompDate,FndSourc,Borough,CounDist,CommBord,MoreInfo,Link
Brooklyn Navy Yard Development Corporation,POINT (-73.97488006293344 40.7016799148762),Berth 6 - Concrete Slab Apron Repair and Mitigation,BNYDC003,Infrastructure,200000,Planning,Q3 2017,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes replacement of 12"" concrete slab and replacement of fill behind existing King Pile bulkhead.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97422006293337 40.70121991487624),Rehabilitation of Berth 6B and Partial Demolition of Pier G [Multisite],BNYDC004,Infrastructure,2000000,Completed,Q1 2017,"FEMA, City Funds, EDA",Brooklyn,33,BK-2,Work includes removal of granite blocks and concrete debris from mudline at collapsed bulkhead and NYS mandated environmental mitigation.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97259706293623 40.70329091487862),"Berths 9, 9A Repairs",BNYDC005,Infrastructure,7000000,Planning,Q3 2018,"FEMA, City Funds",Brooklyn,33,BK-2,Work includes replacement of shore power system and capstans.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97260706293507 40.70210391487775),"Berths 8, 8A, and 8B Repairs",BNYDC006,Infrastructure,6000000,Design,Q1 2018,"FEMA, City Funds",Brooklyn,33,BK-2,Work includes replacement of shore power system and capstans.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97406806293272 40.70044491487573),Brooklyn Navy Yard Boiler Repairs/Replacement [Multisite],BNYDC009,Infrastructure,850000,Planning,Q1 2018,"FEMA, City Funds",Brooklyn,33,BK-2,Work includes replacement and elevation of cast iron boilers to the new Design Flood Elevation.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97690706293278 40.70219891487549),Brooklyn Navy Yard Boiler Repairs/Replacement [Multisite],BNYDC009,Infrastructure,850000,Planning,Q1 2018,"FEMA, City Funds",Brooklyn,33,BK-2,Work includes replacement and elevation of cast iron boilers to the new Design Flood Elevation.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97659306293022 40.69929591487347),Building 41 Repair and Mitigation,BNYDC010,Infrastructure,5000000,Planning,Q4 2018,"FEMA-428, City Funds",Brooklyn,33,BK-2,Scope of work in development.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.9757490629331 40.70184391487581),Pump Well House 124 and Caisson Gate at Dry Dock 1 Repair and Mitigation [Multisite],BNYDC013,Infrastructure,2000000,Planning,Q2 2019,"FEMA, City Funds",Brooklyn,33,BK-2,Work includes remanufacturing and restoration of mechanical equipment and replacement of electrical supply and controls.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97636906293182 40.70082991487476),Pump Well House 124 and Caisson Gate at Dry Dock 1 Repair and Mitigation [Multisite],BNYDC013,Infrastructure,2000000,Planning,Q2 2019,"FEMA, City Funds",Brooklyn,33,BK-2,Work includes remanufacturing and restoration of mechanical equipment and replacement of electrical supply and controls.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.9712920629361 40.702414914878716),Pump Well House 156 and Caisson Gates at Dry Docks 5 and 6 Repair and Mitigation [Multisite],BNYDC014,Infrastructure,11000000,Planning,Q2 2020,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes remanufacturing and restoration of mechanical equiprment, caisson gates, seals, and replacement of electrical supply and controls.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97185765728372 40.70531661618943),Brooklyn Navy Yard Miscellaneous Permanent Repair,BNYDC017,Infrastructure,990000,Completed,Q2 2013,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes repairs to doors, elevators, roofing, fences, and windows.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.9757500629338 40.70259991487641),Pier D Repairs,BNYDC019,Infrastructure,3000000,Planning,Q2 2019,"FEMA, City Funds",Brooklyn,33,BK-2,Work includes repair of sinkholes and failed pier sections.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97928506292912 40.69969391487234),Brooklyn Navy Yard Security Gates and System Repair [Multisite],BNYDC021,Infrastructure,260000,Completed,Q3 2013,"FEMA, City Funds",Brooklyn,33,BK-2,Work includes repair to damaged entrance security gates.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.9747310629303 40.698290914873745),Brooklyn Navy Yard Security Gates and System Repair [Multisite],BNYDC021,Infrastructure,260000,Completed,Q3 2013,"FEMA, City Funds",Brooklyn,33,BK-2,Work includes repair to damaged entrance security gates.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.96973306293334 40.698582914876724),Brooklyn Navy Yard Security Gates and System Repair [Multisite],BNYDC021,Infrastructure,260000,Completed,Q3 2013,"FEMA, City Funds",Brooklyn,33,BK-2,Work includes repair to damaged entrance security gates.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.96733106293928 40.70347291488159),Brooklyn Navy Yard Security Gates and System Repair [Multisite],BNYDC021,Infrastructure,260000,Completed,Q3 2013,"FEMA, City Funds",Brooklyn,33,BK-2,Work includes repair to damaged entrance security gates.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.9710150629373 40.70349791487964),Small Boat Basin Repairs,BNYDC023,Infrastructure,80000,Completed,Q3 2013,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes backfill and repair of sinkholes, and removal of damaged wood floats.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97667006293032 40.69943991487355),Steam Generating Back-Up Plant in Building 41A Repair,BNYDC024,Infrastructure,970000,Planning,Q3 2018,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes repair and replacement of controls, electrical wiring and conduit, plumbing, and mechanical components associated with three 1,500 HP Steam Boilers and three fuel tanks.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97696006293262 40.70205991487532),Substation B at Building 234 Repair and Mitigation,BNYDC026,Infrastructure,6000000,Planning,Q1 2019,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes replacement of electrical power substation equipment including transformers, switches, circuit breakers, and power cables.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.96875306293809 40.703055914880565),Substation G at Building 386 Repair and Mitigation,BNYDC027,Infrastructure,9000000,Planning,Q4 2019,"FEMA, City Funds, Insurance Proceeds",Brooklyn,33,BK-2,Work includes total replacement of substation.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97668006293081 40.69993591487394),"Substations at Buildings 127, 275, 293 Repair and Mitigation [Multisite]",BNYDC028,Infrastructure,3000000,Planning,Q1 2019,"FEMA, City Funds, Insurance Proceeds",Brooklyn,33,BK-2,Work includes repair of electrical power substations equipment including transformers and switchgears.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97777106292887 40.69853991487231),"Substations at Buildings 127, 275, 293 Repair and Mitigation [Multisite]",BNYDC028,Infrastructure,3000000,Planning,Q1 2019,"FEMA, City Funds, Insurance Proceeds",Brooklyn,33,BK-2,Work includes repair of electrical power substations equipment including transformers and switchgears.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.96943806293744 40.70274791487999),"Substations at Buildings 127, 275, 293 Repair and Mitigation [Multisite]",BNYDC028,Infrastructure,3000000,Planning,Q1 2019,"FEMA, City Funds, Insurance Proceeds",Brooklyn,33,BK-2,Work includes repair of electrical power substations equipment including transformers and switchgears.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97160006293849 40.70512991488054),Substations at Building 292 and 542 Repair and Mitigation [Multisite],BNYDC029,Infrastructure,2000000,Planning,Q3 2018,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes repair/replacement of damaged electrical motors, wires, and other equipment.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.9746100629322 40.700219914875284),Substations at Building 292 and 542 Repair and Mitigation [Multisite],BNYDC029,Infrastructure,2000000,Planning,Q3 2018,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes repair/replacement of damaged electrical motors, wires, and other equipment.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97263306293159 40.698425914875074),Brooklyn Navy Yard Transformers and Switch Gears Repair and Mitigation [Multisite],BNYDC030,Infrastructure,3000000,Planning,Q4 2019,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes repair/replacement of in kind of various switchboards, transformers, and equipment.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.9689820629382 40.70330591488052),Brooklyn Navy Yard Transformers and Switch Gears Repair and Mitigation [Multisite],BNYDC030,Infrastructure,3000000,Planning,Q4 2019,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes repair/replacement of in kind of various switchboards, transformers, and equipment.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97717506293158 40.70106991487447),Brooklyn Navy Yard Transformers and Switch Gears Repair and Mitigation [Multisite],BNYDC030,Infrastructure,3000000,Planning,Q4 2019,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes repair/replacement of in kind of various switchboards, transformers, and equipment.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.9775850629312 40.700903914874154),Brooklyn Navy Yard Transformers and Switch Gears Repair and Mitigation [Multisite],BNYDC030,Infrastructure,3000000,Planning,Q4 2019,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes repair/replacement of in kind of various switchboards, transformers, and equipment.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.9781700629305 40.700499914873525),Brooklyn Navy Yard Transformers and Switch Gears Repair and Mitigation [Multisite],BNYDC030,Infrastructure,3000000,Planning,Q4 2019,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes repair/replacement of in kind of various switchboards, transformers, and equipment.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97676506293037 40.69955591487364),Brooklyn Navy Yard Transformers and Switch Gears Repair and Mitigation [Multisite],BNYDC030,Infrastructure,3000000,Planning,Q4 2019,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes repair/replacement of in kind of various switchboards, transformers, and equipment.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97778006292977 40.699508914873036),Brooklyn Navy Yard Transformers and Switch Gears Repair and Mitigation [Multisite],BNYDC030,Infrastructure,3000000,Planning,Q4 2019,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes repair/replacement of in kind of various switchboards, transformers, and equipment.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97638506293029 40.69922491487354),Brooklyn Navy Yard Transformers and Switch Gears Repair and Mitigation [Multisite],BNYDC030,Infrastructure,3000000,Planning,Q4 2019,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes repair/replacement of in kind of various switchboards, transformers, and equipment.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97673906293086 40.700054914874016),Brooklyn Navy Yard Transformers and Switch Gears Repair and Mitigation [Multisite],BNYDC030,Infrastructure,3000000,Planning,Q4 2019,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes repair/replacement of in kind of various switchboards, transformers, and equipment.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97563006293232 40.7009369148753),Brooklyn Navy Yard Transformers and Switch Gears Repair and Mitigation [Multisite],BNYDC030,Infrastructure,3000000,Planning,Q4 2019,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes repair/replacement of in kind of various switchboards, transformers, and equipment.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97254206293842 40.70559491488034),Brooklyn Navy Yard Transformers and Switch Gears Repair and Mitigation [Multisite],BNYDC030,Infrastructure,3000000,Planning,Q4 2019,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes repair/replacement of in kind of various switchboards, transformers, and equipment.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97766006292886 40.69846991487236),Brooklyn Navy Yard Transformers and Switch Gears Repair and Mitigation [Multisite],BNYDC030,Infrastructure,3000000,Planning,Q4 2019,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes repair/replacement of in kind of various switchboards, transformers, and equipment.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.96961406293744 40.70286591487994),Brooklyn Navy Yard Transformers and Switch Gears Repair and Mitigation [Multisite],BNYDC030,Infrastructure,3000000,Planning,Q4 2019,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes repair/replacement of in kind of various switchboards, transformers, and equipment.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.9686200629381 40.70295991488055),Brooklyn Navy Yard Transformers and Switch Gears Repair and Mitigation [Multisite],BNYDC030,Infrastructure,3000000,Planning,Q4 2019,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes repair/replacement of in kind of various switchboards, transformers, and equipment.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97800606293139 40.70134991487427),Brooklyn Navy Yard Transformers and Switch Gears Repair and Mitigation [Multisite],BNYDC030,Infrastructure,3000000,Planning,Q4 2019,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes repair/replacement of in kind of various switchboards, transformers, and equipment.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97468306293187 40.69994991487503),Brooklyn Navy Yard Transformers and Switch Gears Repair and Mitigation [Multisite],BNYDC030,Infrastructure,3000000,Planning,Q4 2019,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes repair/replacement of in kind of various switchboards, transformers, and equipment.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97145906294102 40.70772591488245),Brooklyn Navy Yard Transformers and Switch Gears Repair and Mitigation [Multisite],BNYDC030,Infrastructure,3000000,Planning,Q4 2019,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes repair/replacement of in kind of various switchboards, transformers, and equipment.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97307906293928 40.70683191488094),Brooklyn Navy Yard Transformers and Switch Gears Repair and Mitigation [Multisite],BNYDC030,Infrastructure,3000000,Planning,Q4 2019,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes repair/replacement of in kind of various switchboards, transformers, and equipment.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Citywide Administrative Services,POINT (-73.98019906292947 40.70061391487251),Various Repairs at Department of Citywide Administrative Services Properties [Multisite],DCAS003,Buildings,130000,Completed,Q4 2014,"FEMA, City Funds",Citywide,"1, 8, 16, 19, 24, 30, 32, 33, 47, 49, 50","MN-1, BX-4, BK-2, BK-13, QN-5, QN-7, QN-9, QN-10, QN-12, SI-1, SI-2","Work includes various repairs, replacement, tree removal, and site work at 13 sites citywide.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Environmental Protection,POINT (-73.97848596055826 40.70227559369642),Resiliency Work at Red Hook WWTP,DEP050,Infrastructure,24000000,Design,Q3 2021,"FEMA, City Funds",Brooklyn,33,BK-2,Work includes floodproofing and elevating equipment.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Sanitation,POINT (-73.97065006293941 40.705564914881336),Brooklyn Kent Ave. Salt Tent - Repair,DSNY031,Infrastructure,10000,Completed,,"FEMA, City Funds",Brooklyn,33,BK-2,Work includes calcium chloride pumps replacement and electrical repairs.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Fire Department of the City of New York,POINT (-73.97210306293833 40.705248914880364),Marine 6 - Repairs,FDNY024,Buildings,500000,Completed,Q2 2014,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes replacement of drywall, floor tiles, and minor electrical repair.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Police Department,POINT (-73.97522906293017 40.69843191487366),Brooklyn Tow Pound Fence Replacement,NYPD017,Infrastructure,20000,Completed,Q1 2015,"FEMA, City Funds",Brooklyn,33,BK-2,Work includes replacement of 115 feet of fencing.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97355006293819 40.70592991488),Rehabilitation of Berth 6B and Partial Demolition of Pier G [Multisite],BNYDC004,Infrastructure,2000000,Completed,Q1 2017,"FEMA, City Funds, EDA",Brooklyn,33,BK-2,Work includes removal of granite blocks and concrete debris from mudline at collapsed bulkhead and NYS mandated environmental mitigation.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.9745600629331 40.70111991487596),Dry Dock 4 Repairs,BNYDC012,Infrastructure,170000,Construction,Q3 2017,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes professional services for investigation of damage at caisson gate and wall, and for repair of granite coping.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97226406293571 40.70257091487828),Pump Well House 156 and Caisson Gates at Dry Docks 5 and 6 Repair and Mitigation [Multisite],BNYDC014,Infrastructure,11000000,Planning,Q2 2020,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes remanufacturing and restoration of mechanical equiprment, caisson gates, seals, and replacement of electrical supply and controls.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Navy Yard Development Corporation,POINT (-73.97213406293658 40.70340991487896),Pump Well House 156 and Caisson Gates at Dry Docks 5 and 6 Repair and Mitigation [Multisite],BNYDC014,Infrastructure,11000000,Planning,Q2 2020,"FEMA, City Funds",Brooklyn,33,BK-2,"Work includes remanufacturing and restoration of mechanical equiprment, caisson gates, seals, and replacement of electrical supply and controls.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Department of Transportation,POINT (-74.01212983958726 40.70076467387662),Whitehall Facility Damage Repairs,NYCDOT014,Buildings,12000000,Construction,Q4 2018,FTA,Manhattan,1,MN-1,Work includes repairing the terminal roof and associated structures at the facility.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Department of Transportation,POINT (-74.01530183179156 40.707352972057436),West Street and Battery Park Underpass Repairs [Multisite],NYCDOT065,Infrastructure,66000000,Construction,Q1 2018,"FHWA, City Funds",Manhattan,1,MN-1,"Work includes replacing the electrical power, lighting, ventilation, and control equipment in the underpass tunnels.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Department of Transportation,POINT (-74.01665508599588 40.70482180238567),West Street and Battery Park Underpass Repairs [Multisite],NYCDOT065,Infrastructure,66000000,Construction,Q1 2018,"FHWA, City Funds",Manhattan,1,MN-1,"Work includes replacing the electrical power, lighting, ventilation, and control equipment in the underpass tunnels.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Board of Elections,POINT (-74.01272006291639 40.70579391485848),Board of Elections Data Center A/C Replacement,BOE001,Buildings,40000,Completed,Q2 2013,"FEMA, City Funds",Manhattan,1,MN-1,Work includes replacement of damaged A/C units.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Police Department,POINT (-74.00835666291684 40.70367671485936),"NY Police Museum - Boiler, HVAC, MEP, etc.",DCLA003,Buildings,3000000,Design,Q3 2022,"FEMA-428, FEMA, City Funds, Insurance Proceeds",Manhattan,1,MN-1,Work includes long-term planned reconstruction of museum and mitigation of mechanical systrem.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Health and Mental Hygiene,POINT (-74.00235206293146 40.715668814871414),Department of Health and Mental Hygiene Office Mitigation (125 Worth Street),DOHMH015,Infrastructure,910000,Design,Q1 2017,"FEMA-428, City Funds",Manhattan,1,MN-1,Work includes sealing the vital records vault and HVAC work.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Investigation,POINT (-74.00758006292054 40.70713991486234),Department of Investigation Office Repair,DOI002,Buildings,60000,Completed,Q1 2013,"FEMA, City Funds",Manhattan,1,MN-1,Work includes office interior repairs.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Parks and Recreation,POINT (-74.00621049583143 40.70445823852186),Mannahatta Fountain Reconstruction,DPR321,Buildings,0,Planning,,"FEMA, City Funds",Manhattan,1,MN-1,Work incldues reconstruction of the Mannahatta Fountain.,http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Department of Sanitation,POINT (-74.01078416291662 40.70490341485894),44 Beaver Street - Repair and Mitigation,DSNY003,Infrastructure,680000,Planning,,"FEMA, City Funds",Manhattan,1,MN-1,Work includes elevation and replacement of critical electrical and mechanical systems.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Fire Department of the City of New York,POINT (-74.00769306291733 40.70380841485984),Engine 4 - Repairs,FDNY016,Buildings,220000,Completed,Q3 2014,"FEMA, City Funds",Manhattan,1,MN-1,"Work includes replacement of drywall, floor tiles, and minor electrical repair.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Fire Department of the City of New York,POINT (-74.02470506289107 40.685938914837514),Governor's Island - Repairs,FDNY021,Buildings,90000,Completed,Q2 2014,"FEMA, City Funds, Insurance Proceeds",Manhattan,1,MN-1,"Work includes replacement of drywall, floor tiles, and minor electrical repair.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Office of the Mayor,POINT (-74.0032427629257 40.71010241486683),Mayor's Office UPS Unit replacement,MAYORALTY003,Buildings,20000,Completed,Q2 2014,"FEMA, City Funds",Manhattan,1,MN-1,Work includes repair of an Uninterrupted Power Supply (UPS) unit that suffered damage as a result of the corrupted power.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Economic Development Corporation,POINT (-74.00674506292252 40.70877381486396),Recovery - 110 William Street,NYCEDC003,Buildings,0,Completed,Q4 2012,"FEMA, City Funds",Manhattan,1,MN-1,Work includes re-energizing all electrical systems after weekend emergency shutdown.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Economic Development Corporation,POINT (-74.00912606291436 40.701487914857346),Downtown Manhattan Heliport - Recovery,NYCEDC038,Infrastructure,200000,Completed,Q4 2012,"FEMA, City Funds",Manhattan,1,MN-1,"Work includes providing, installing, and monitoring emergency generators.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Economic Development Corporation,POINT (-74.00179061439252 40.70569315224683),South Street Seaport - Recovery,NYCEDC076,Buildings,6000000,Completed,Q2 2014,"FEMA, City Funds",Manhattan,1,MN-1,"Work includes fire alarm and sprinkler systems, electrical, and heating repairs.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Economic Development Corporation,POINT (-74.0037100629234 40.70793991486502),Museum Row Block - Recovery,NYCEDC101,Buildings,530000,Completed,Q1 2013,"FEMA, City Funds",Manhattan,1,MN-1,"Work includes the cleaning and sanitization of the basement and first floors, as well as the restoration of permanent power.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Economic Development Corporation,POINT (-74.00507006292077 40.705919914862825),Schermerhorn Row - Recovery,NYCEDC102,Buildings,5000000,Completed,Q2 2013,"FEMA, City Funds",Manhattan,1,MN-1,"Work includes replacement and rebuilding of switch gear as well as structural, architectural, and mechanical repairs.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Economic Development Corporation,POINT (-74.00366006292116 40.70552991486331),Pier 1 and Pier 16 - Recovery [Multisite],NYCEDC103,Coastal Defense,60000,Completed,Q3 2013,"FEMA, City Funds",Manhattan,"1, 49","MN-1, SI-1","Work includes remediation, debris removal, and fencing repair.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Economic Development Corporation,POINT (-74.00202346292357 40.707124414865326),109 South Street - Recovery,NYCEDC104,Buildings,70000,Completed,Q1 2013,"FEMA, City Funds",Manhattan,1,MN-1,"Work includes repairs to doorway and fire alarm, as well as replacement of dry wall and water heater.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Economic Development Corporation,POINT (-74.00662406291765 40.703578914860266),Pier 11 - Recovery,NYCEDC105,Coastal Defense,2000000,Completed,Q4 2014,"FTA, City Funds",Manhattan,1,MN-1,"Work includes terminal building structural evaluation, design, and restoration.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Economic Development Corporation,POINT (-74.0119349081193 40.701362282399906),"Rockaway Ferry Landing, Slip 7, Navy Barge, Battery Maritime Building  - Recovery [Multisite]",NYCEDC106,Infrastructure,4000000,Completed,Q1 2015,"FTA, City Funds",Manhattan,1,MN-1,"Work includes barge rental, construction, repairs, and clean up.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Economic Development Corporation,POINT (-74.01187206291245 40.701092914855536),"Rockaway Ferry Landing, Slip 7, Navy Barge, Battery Maritime Building  - Recovery [Multisite]",NYCEDC106,Infrastructure,4000000,Completed,Q1 2015,"FTA, City Funds",Manhattan,1,MN-1,"Work includes barge rental, construction, repairs, and clean up.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Police Department,POINT (-74.01415046291983 40.71026011486098),World Trade Center Command Repairs,NYPD011,Infrastructure,110000,Completed,Q1 2013,"FEMA, City Funds",Manhattan,1,MN-1,"Work includes facility clean-up and replacement of damaged floors, drywall, and other equipment damaged by flooding.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Trust for Governors Island,POINT (-74.0170460628961 40.68679491484233),Governors Island: Yankee Pier Repair,TGI001,Coastal Defense,40000,Completed,Q2 2013,"FEMA, City Funds",Manhattan,1,MN-1,Work includes removal and repair of damaged seawall fence.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Trust for Governors Island,POINT (-74.01376806289952 40.68849591484532),Governors Island: Wind Damaged Buildings Repair (Phase 1) [Multisite],TGI002,Buildings,30000,Completed,Q1 2014,"FEMA, City Funds",Manhattan,1,MN-1,Work includes replacement of damaged or missing slate tiles on three historic buildings.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Trust for Governors Island,POINT (-74.0145110629028 40.69239691484776),Governors Island: Wind Damaged Buildings Repair (Phase 1) [Multisite],TGI002,Buildings,30000,Completed,Q1 2014,"FEMA, City Funds",Manhattan,1,MN-1,Work includes replacement of damaged or missing slate tiles on three historic buildings.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
